mpio_reg_code_7,error
0700340,404
0100256,404
0700046,404
2100016,404
1500250,404
0700049,404
2100020,404
3100016,404
1500256,404
0700346,404
2700157,404
2100025,404
0100259,404
3100019,404
1300023,404
2500019,404
2500016,404
1300022,404
5200015,404
5200010,404
2700160,404
5200080,404
2500022,404
1300024,404
2100028,404
0700052,404
3100022,404
8800120,404
6400019,404
0900001,404
0100262,404
1500259,404
2700163,404
5200020,404
2100030,404
0700058,404
0700055,404
1300025,404
1500262,404
0900004,404
0100268,404
0900007,404
1300027,404
6400007,404
2500025,404
2700166,404
3100025,404
1500265,404
0100265,404
5200025,404
2700167,404
2500028,404
0100004,404
2100031,404
3100028,404
0900013,404
2100040,404
1500268,404
0700059,404
0100270,404
1300028,404
0100007,404
1300031,404
3100031,404
0700060,404
0900022,404
2500031,404
2700169,404
0100271,404
0100010,404
2500034,404
5400001,404
2100042,404
8800355,404
2700172,404
3100034,404
8800805,404
8800130,404
0100013,404
1500271,404
0100274,404
0700061,404
1300032,404
0900034,404
1500274,404
0700064,404
2500036,404
0900037,404
0100277,404
0100016,404
2100046,404
2100048,404
5200027,404
2500037,404
1500277,404
0100280,404
6400013,404
2700174,404
1300033,404
2700178,404
0100019,404
1300034,404
8800815,404
3100043,404
0100022,404
2700175,404
2500038,404
0900049,404
0700067,404
2100049,404
8800580,404
3100037,404
3100040,404
1500280,404
0700068,404
2100052,404
1500283,404
0100282,404
2500040,404
1300037,404
2700181,404
0900052,404
0700070,404
3100046,404
0100283,404
1300040,404
0100025,404
0900055,404
2100055,404
0100028,404
5400003,404
2500043,404
2700184,404
8800135,404
1500286,404
1300043,404
0700073,404
0900058,404
3100049,404
1500289,404
2100058,404
2500046,404
0100286,404
2700187,404
8800590,404
1300046,404
0700076,404
0900061,404
2100060,404
0100031,404
0100289,404
1500292,404
6400016,404
2700190,404
5200028,404
3100055,404
2500049,404
0100034,404
0700077,404
1500295,404
8800360,404
0100290,404
2100067,404
2500051,404
3100058,404
0900067,404
2700193,404
1300049,404
0100291,404
0100035,404
0700078,404
0900076,404
1300052,404
3100052,404
1500298,404
2100070,404
2700194,404
2500052,404
8800620,404
3100064,404
2500054,404
0100037,404
0700079,404
2500055,404
0100295,404
0700082,404
2100076,404
0100040,404
2700195,404
0100292,404
3100067,404
0100293,404
2100073,404
3100061,404
1300055,404
0100039,404
1300058,404
0900078,404
8800140,404
1500304,404
0900079,404
2700196,404
1500301,404
5400007,404
0700085,404
0900082,404
1500307,404
1300060,404
3100070,404
2700199,404
0100043,404
2100078,404
5200030,404
2500058,404
0700088,404
1500316,404
0100298,404
1300061,404
0900085,404
2500061,404
8800370,404
2700202,404
3100073,404
0700091,404
2700205,404
1500004,404
0100300,404
2100085,404
2500064,404
0900103,404
3100076,404
0100046,404
2100079,404
1500318,404
0100049,404
0100301,404
0900106,404
1500007,404
0700094,404
1500319,404
3100079,404
2700208,404
2100095,404
2700211,404
0300001,404
1500010,404
2500067,404
2100090,404
0700097,404
0900109,404
3100082,404
0100052,404
1500322,404
8800625,404
0700100,404
1500323,404
0300004,404
0900115,404
1500013,404
8800155,404
2500070,404
2300001,404
0100055,404
5400012,404
2500069,404
2700217,404
0100058,404
5200035,404
3100085,404
2300004,404
1500016,404
8800375,404
2700219,404
0300007,404
1500325,404
0700103,404
2500073,404
0900124,404
0900120,404
1500019,404
3100091,404
0100061,404
2700220,404
1500328,404
2300007,404
2500076,404
1500022,404
0300013,404
0100062,404
0900127,404
3100088,404
0700106,404
1500331,404
0300010,404
0700109,404
2500079,404
2300010,404
2700221,404
3100094,404
0900130,404
5600001,404
0100064,404
0100067,404
1500025,404
0700112,404
0300016,404
2500082,404
0300019,404
2700223,404
8800635,404
0700118,404
