mesa_id,partido_posicion,partido_nombre,votos_pre_recount,votos_post_recount,delta,delta_pct
000812,36,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,0.0,0.0,0.0,
000812,37,UNIDAD NACIONAL,2.0,2.0,0.0,0.0
000812,38,PARTIDO MORADO,0.0,0.0,0.0,
000812,80,VOTOS EN BLANCO,36.0,30.0,-6.0,-16.666666666666664
000812,81,VOTOS NULOS,17.0,11.0,-6.0,-35.294117647058826
000812,99,TOTAL DE CIUDADANOS QUE VOTARON,218.0,218.0,0.0,0.0
000962,1,ALIANZA ELECTORAL VENCEREMOS,1.0,1.0,0.0,0.0
000962,2,PARTIDO PATRIÓTICO DEL PERÚ,7.0,1.0,-6.0,-85.71428571428571
000962,3,PARTIDO CÍVICO OBRAS,9.0,9.0,0.0,0.0
000962,4,FRENTE POPULAR AGRÍCOLA FÍA DEL PERÚ,0.0,,,
000962,5,PARTIDO DEMÓCRATA VERDE,0.0,0.0,0.0,
000962,6,PARTIDO DEL BUEN GOBIERNO,6.0,6.0,0.0,0.0
000962,7,PARTIDO POLÍTICO PERÚ ACCIÓN,0.0,0.0,0.0,
000962,8,PARTIDO POLÍTICO PRIN,0.0,0.0,0.0,
000962,9,PROGRESEMOS,0.0,0.0,0.0,
000962,10,PARTIDO SICREO,3.0,3.0,0.0,0.0
000962,11,PARTIDO PAÍS PARA TODOS,0.0,1.0,1.0,
000962,12,PARTIDO FRENTE DE LA ESPERANZA 2021,2.0,2.0,0.0,0.0
000962,13,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,2.0,1.0,-1.0,-50.0
000962,14,FRENTE POPULAR AGRÍCOLA FÍA DEL PERÚ,0.0,,,
000962,15,"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",0.0,0.0,0.0,
000962,16,JUNTOS POR EL PERÚ,54.0,53.0,-1.0,-1.8518518518518516
000962,17,PODEMOS PERÚ,3.0,3.0,0.0,0.0
000962,18,PARTIDO DEMOCRATICO FEDERAL,0.0,0.0,0.0,
