mesa_id,partido_nombre,votos_pre_recount,votos_post_recount,delta,delta_pct
049506,JUNTOS POR EL PERÚ,3,3.0,0.0,0.0
050078,JUNTOS POR EL PERÚ,1,1.0,0.0,0.0
050314,JUNTOS POR EL PERÚ,2,6.0,4.0,200.0
050519,JUNTOS POR EL PERÚ,1,1.0,0.0,0.0
050554,JUNTOS POR EL PERÚ,1,1.0,0.0,0.0
050623,JUNTOS POR EL PERÚ,2,0.0,-2.0,-100.0
050624,JUNTOS POR EL PERÚ,2,2.0,0.0,0.0
050634,JUNTOS POR EL PERÚ,1,2.0,1.0,100.0
050645,JUNTOS POR EL PERÚ,2,2.0,0.0,0.0
050827,JUNTOS POR EL PERÚ,0,0.0,0.0,
050981,JUNTOS POR EL PERÚ,1,1.0,0.0,0.0
051071,JUNTOS POR EL PERÚ,0,3.0,3.0,
051429,JUNTOS POR EL PERÚ,2,2.0,0.0,0.0
051478,JUNTOS POR EL PERÚ,0,0.0,0.0,
051624,JUNTOS POR EL PERÚ,0,0.0,0.0,
051653,JUNTOS POR EL PERÚ,1,1.0,0.0,0.0
052073,JUNTOS POR EL PERÚ,9,9.0,0.0,0.0
052283,JUNTOS POR EL PERÚ,10,8.0,-2.0,-20.0
052319,JUNTOS POR EL PERÚ,6,6.0,0.0,0.0
052337,JUNTOS POR EL PERÚ,2,2.0,0.0,0.0
052395,JUNTOS POR EL PERÚ,6,6.0,0.0,0.0
052539,JUNTOS POR EL PERÚ,8,7.0,-1.0,-12.5
052653,JUNTOS POR EL PERÚ,9,9.0,0.0,0.0
052803,JUNTOS POR EL PERÚ,6,5.0,-1.0,-16.666666666666664
053114,JUNTOS POR EL PERÚ,8,9.0,1.0,12.5
053186,JUNTOS POR EL PERÚ,4,4.0,0.0,0.0
053193,JUNTOS POR EL PERÚ,10,10.0,0.0,0.0
