mpio_reg_code_7,mesas_total,mesas_escrutadas,censo,votantes,votos_nulos,votos_no_marcados,votos_blanco,votos_validos,cand_31_000001|MAURICIO CARDENAS SANTAMARIA,cand_31_000002|DAVID ANDRES LUNA SANCHEZ,cand_31_000003|VICTORIA EUGENIA DAVILA HOYOS,cand_31_000004|JUAN MANUEL GALAN PACHON,cand_31_000005|PALOMA SUSANA VALENCIA LASERNA,cand_31_000006|JUAN CARLOS PINZON BUENO,cand_31_000007|ANIBAL GAVIRIA CORREA,cand_31_000008|ENRIQUE PEÑALOSA LONDOÑO,cand_31_000009|JUAN DANIEL OVIEDO ARANGO
0900103,130,130,41515,6731,484,621,0,5626,30,26,317,277,3274,261,79,84,512
0900106,34,34,10724,1290,89,116,0,1085,6,5,60,55,686,45,5,12,81
0900109,49,49,15051,1918,82,78,0,1758,23,15,69,161,1036,75,21,14,144
0900115,54,54,16905,2281,107,253,0,1921,3,18,58,106,1289,65,21,21,117
0900120,17,17,5070,659,28,50,0,581,9,9,35,37,319,32,5,4,62
0900124,78,78,24116,4421,491,536,0,3394,29,39,227,163,1880,104,84,55,229
0900127,28,28,8601,1214,76,98,0,1040,7,21,33,61,630,31,8,13,113
0900130,154,154,48037,10286,845,599,0,8842,107,109,525,647,3686,524,66,153,1394
0900133,47,47,13494,1967,108,143,0,1716,11,12,57,60,1180,48,10,16,144
1100001,801,801,267293,55089,6044,4121,0,44924,367,337,946,1914,21616,1644,190,539,7607
1100004,45,45,13202,298,21,113,0,164,3,1,6,7,47,3,1,3,7
1100005,74,74,22750,851,76,319,0,456,4,6,13,25,156,18,4,7,48
1100006,55,55,17546,1313,116,467,0,730,6,4,27,44,160,18,8,12,46
1100007,122,122,30906,1375,182,347,0,846,7,10,31,37,365,35,2,5,33
1100010,61,61,18843,2863,461,764,0,1638,25,21,100,89,379,72,24,48,77
1100013,85,85,27053,1419,127,189,0,1103,9,5,19,43,738,62,5,12,63
1100016,79,79,26450,1202,144,314,0,744,12,6,34,47,328,38,2,11,42
1100019,70,70,21523,1931,318,268,0,1345,12,12,42,67,468,61,6,25,94
1100022,61,61,19528,1261,124,267,0,870,10,8,52,71,264,56,3,23,77
1100025,137,124,38686,3332,340,911,0,2081,19,16,94,135,905,84,17,29,113
1100027,17,17,5128,509,26,120,0,363,2,3,7,13,242,9,3,4,28
1100028,74,73,19719,1037,124,322,0,591,6,6,22,37,218,20,6,26,13
1100029,48,48,14880,1482,333,345,0,804,14,4,30,37,160,34,7,15,26
1100031,65,65,19578,1064,109,213,0,742,5,6,32,34,409,35,3,12,42
1100034,34,34,10414,170,25,81,0,64,1,0,2,3,17,2,0,2,2
1100037,31,31,9438,775,91,180,0,504,5,3,19,19,293,15,1,3,32
1100040,54,54,15469,794,55,177,0,562,2,6,12,21,283,13,1,7,19
1100043,62,59,14067,1330,47,259,0,1024,6,3,116,14,79,13,30,7,4
1100046,49,49,14375,1112,89,297,0,726,9,3,15,29,309,12,7,6,27
1100049,72,72,22350,2353,346,307,0,1700,13,12,50,73,468,64,12,19,219
1100052,77,77,23293,2252,200,463,0,1589,11,15,82,95,746,90,13,21,85
1100053,25,25,7431,1011,195,215,0,601,11,8,16,35,114,20,3,7,26
1100055,81,81,23079,721,75,117,0,529,4,4,31,19,314,12,0,7,30
1100058,93,93,27951,3110,380,833,0,1897,21,14,73,117,872,56,19,29,92
1100060,26,26,6824,425,27,85,0,313,5,11,13,14,138,6,2,7,20
1100061,105,105,32510,3766,365,637,0,2764,28,10,95,160,1165,127,16,31,300
1100064,104,104,35735,3445,613,408,0,2424,13,13,55,118,527,64,9,31,167
1100067,32,32,10146,707,59,157,0,491,2,3,14,14,281,18,0,1,38
1100070,30,30,8963,964,96,151,0,717,3,4,11,22,407,12,3,4,46
1100073,24,24,7348,285,11,92,0,182,1,0,6,6,90,2,1,0,21
1100076,247,247,86978,9269,1397,1183,0,6689,59,60,294,382,2582,356,47,126,857
1100079,19,19,4311,346,17,69,0,260,2,43,5,8,116,4,1,1,19
1100082,81,81,24867,1787,171,361,0,1255,13,10,59,69,433,80,8,13,110
1100085,29,29,7852,878,88,198,0,592,5,4,22,35,321,39,3,3,30
1100086,23,23,6195,168,10,52,0,106,0,0,1,5,58,1,0,1,6
1100087,62,62,19307,2161,355,523,0,1283,12,6,78,55,448,49,10,25,42
1100088,93,93,28887,4091,486,619,0,2986,16,25,125,147,1541,170,13,37,295
1100091,61,54,16363,471,45,105,0,321,5,1,9,14,115,2,1,11,10
