mpio_reg_code_7,mesas_total,mesas_escrutadas,censo,votantes,votos_nulos,votos_no_marcados,votos_blanco,votos_validos,consulta_30,consulta_31,consulta_32
1500043,52,52,16878,4686,441,203,0,4042,687,3100,255
1500046,96,96,31160,9026,465,151,0,8410,686,7291,433
1500049,17,17,5394,1322,87,70,0,1165,100,1004,61
1500052,13,13,4094,1013,55,79,0,879,67,780,32
1500055,360,360,120600,48750,3210,1118,0,44422,4458,37805,2159
1500058,26,26,8624,1985,173,153,0,1659,177,1379,103
1500061,38,38,12241,3030,153,90,0,2787,168,2491,128
1500064,53,53,17107,4276,346,260,0,3670,534,2977,159
1500067,73,73,23977,4584,308,303,0,3973,480,3291,202
1500070,15,15,4653,809,26,84,0,699,43,640,16
1500072,61,61,20092,6404,891,407,0,5106,898,3856,352
1500076,325,325,104175,27814,3115,982,0,23717,3341,18747,1629
1500079,32,32,10062,2777,161,169,0,2447,192,2155,100
1500085,18,18,5689,1038,52,74,0,912,54,819,39
1500088,250,250,80065,22249,2114,786,0,19349,2708,15261,1380
