mpio_reg_code_7,mesas_total,mesas_escrutadas,censo,votantes,votos_nulos,votos_no_marcados,votos_blanco,votos_validos,cand_32_000001|HECTOR ELIAS PINEDA SALAZAR,cand_32_000002|EDISON LUCIO TORRES MORENO,cand_32_000003|ROY LEONARDO BARRERAS MONTEALEGRE,cand_32_000004|MARTHA VIVIANA BERNAL AMAYA,cand_32_000005|DANIEL QUINTERO CALLE
0700259,9,9,2543,705,12,61,0,632,1,2,18,1,7
0700262,4,4,1301,303,9,28,0,266,1,0,11,0,1
0700265,20,20,6371,1201,82,103,0,1016,1,4,73,3,12
0700268,24,24,7812,2277,114,92,0,2071,2,6,63,6,30
0700271,21,21,6004,1466,81,147,0,1238,2,5,26,2,14
0700274,23,23,6907,1831,125,127,0,1579,3,2,64,8,13
0700277,301,301,101449,29175,2319,1054,0,25802,82,69,1227,130,691
0700280,9,9,2898,542,21,40,0,481,3,3,20,0,5
0700281,10,10,3023,652,60,62,0,530,0,2,34,3,13
0700282,20,20,6447,1341,128,127,0,1086,2,3,74,6,22
0700283,20,20,6282,1193,81,57,0,1055,2,2,41,5,15
0700286,9,9,2565,367,13,7,0,347,0,0,25,3,4
0700289,19,19,6320,1622,104,88,0,1430,1,4,95,6,33
0700292,12,12,3946,1027,64,86,0,877,1,5,25,7,21
0700298,15,15,5005,632,45,28,0,559,0,4,33,1,15
0700301,11,11,3642,464,14,15,0,435,1,0,10,0,2
0700304,25,25,7677,1453,78,179,0,1196,6,7,259,9,20
0700307,31,31,10294,2653,211,158,0,2284,5,12,98,10,51
0700310,10,10,3128,771,47,38,0,686,1,0,38,3,19
0700311,12,12,3682,810,25,118,0,667,2,5,18,3,25
0700313,25,25,8116,1493,139,134,0,1220,1,3,97,8,33
0700316,14,14,4538,778,28,69,0,681,2,2,42,2,8
0700319,12,12,3513,910,44,48,0,818,0,0,17,1,15
0700322,15,15,4546,821,48,155,0,618,1,6,17,4,13
0700324,5,5,1596,310,22,48,0,240,0,0,7,2,3
0700325,18,18,5784,1225,90,113,0,1022,2,3,28,12,20
0700328,27,27,8597,2069,173,142,0,1754,5,9,70,8,53
0700331,7,7,2099,295,11,10,0,274,0,0,18,0,5
0700334,18,18,5889,1141,57,111,0,973,1,6,37,2,32
0700337,37,37,12079,1615,100,75,0,1440,3,5,80,8,26
0700340,8,8,2553,525,40,51,0,434,1,5,21,4,6
0700346,14,14,4666,877,43,75,0,759,1,3,22,1,23
0900001,1065,1065,348772,102350,8221,4808,0,89321,327,260,2551,491,2419
0900004,63,63,19292,2851,137,278,0,2436,9,6,21,10,60
0900007,96,96,29710,5501,350,613,0,4538,12,15,63,17,110
0900013,40,40,11416,2053,96,226,0,1731,3,2,32,6,36
0900022,33,33,10510,1749,57,120,0,1572,0,9,23,0,17
0900034,148,148,47735,7849,634,579,0,6636,13,43,363,36,213
0900037,31,31,9402,1505,74,200,0,1231,2,6,22,3,35
0900049,183,183,58225,8488,1027,761,0,6700,37,64,179,38,242
0900052,20,20,5728,659,17,37,0,605,2,1,146,0,8
0900055,51,51,15777,2216,78,169,0,1969,6,5,31,13,35
0900058,25,25,7793,581,35,73,0,473,2,3,10,1,15
0900061,39,39,12546,3076,114,318,0,2644,4,6,27,11,30
0900067,9,9,2421,493,23,123,0,347,0,0,4,0,7
0900076,65,65,20188,3378,195,333,0,2850,0,10,64,14,64
0900078,22,22,6868,667,46,70,0,551,3,4,6,3,17
0900079,42,42,12207,1919,84,219,0,1616,5,7,26,8,38
0900082,48,48,15170,1811,117,171,0,1523,4,4,53,8,60
0900085,55,55,16830,3714,122,401,0,3191,2,9,28,17,62
0900103,130,130,41515,6731,484,621,0,5626,19,28,84,26,156
0900106,34,34,10724,1290,89,116,0,1085,1,6,33,6,26
0900109,49,49,15051,1918,82,78,0,1758,0,4,63,6,34
0900115,54,54,16905,2281,107,253,0,1921,5,7,45,7,51
0900120,17,17,5070,659,28,50,0,581,1,3,17,2,14
0900124,78,78,24116,4421,491,536,0,3394,9,28,61,21,152
0900127,28,28,8601,1214,76,98,0,1040,2,3,22,9,19
0900130,154,154,48037,10286,845,599,0,8842,34,25,197,59,254
0900133,47,47,13494,1967,108,143,0,1716,4,6,26,5,31
1100001,801,801,267293,55089,6044,4121,0,44924,224,289,2036,239,1994
1100004,45,45,13202,298,21,113,0,164,8,3,35,3,6
1100005,74,74,22750,851,76,319,0,456,5,12,43,7,47
1100006,55,55,17546,1313,116,467,0,730,8,30,233,11,51
1100007,122,122,30906,1375,182,347,0,846,4,44,172,2,32
1100010,61,61,18843,2863,461,764,0,1638,12,36,553,13,73
1100013,85,85,27053,1419,127,189,0,1103,2,12,30,8,30
1100016,79,79,26450,1202,144,314,0,744,6,14,48,5,55
1100019,70,70,21523,1931,318,268,0,1345,6,16,338,9,73
1100022,61,61,19528,1261,124,267,0,870,4,18,112,8,56
1100025,137,124,38686,3332,340,911,0,2081,13,74,220,18,71
1100027,17,17,5128,509,26,120,0,363,2,6,6,1,6
1100028,74,73,19719,1037,124,322,0,591,7,31,82,4,31
1100029,48,48,14880,1482,333,345,0,804,6,68,273,8,49
1100031,65,65,19578,1064,109,213,0,742,2,16,22,5,37
1100034,34,34,10414,170,25,81,0,64,1,7,1,1,12
1100037,31,31,9438,775,91,180,0,504,1,11,24,5,29
1100040,54,54,15469,794,55,177,0,562,0,12,122,1,28
1100043,62,59,14067,1330,47,259,0,1024,3,10,683,6,13
1100046,49,49,14375,1112,89,297,0,726,7,25,193,3,38
1100049,72,72,22350,2353,346,307,0,1700,10,36,476,12,94
1100052,77,77,23293,2252,200,463,0,1589,8,34,137,15,73
1100053,25,25,7431,1011,195,215,0,601,3,28,247,5,20
1100055,81,81,23079,721,75,117,0,529,5,3,20,3,28
1100058,93,93,27951,3110,380,833,0,1897,12,47,215,17,75
1100060,26,26,6824,425,27,85,0,313,5,9,23,5,22
1100061,105,105,32510,3766,365,637,0,2764,15,49,134,26,137
1100064,104,104,35735,3445,613,408,0,2424,18,60,1070,9,129
1100067,32,32,10146,707,59,157,0,491,5,7,39,1,23
1100070,30,30,8963,964,96,151,0,717,1,10,106,2,27
1100073,24,24,7348,285,11,92,0,182,0,6,21,1,15
