mpio_reg_code_7,mesas_total,mesas_escrutadas,censo,votantes,votos_nulos,votos_no_marcados,votos_blanco,votos_validos,cand_30_000001|CLAUDIA NAYIBE LOPEZ HERNANDEZ,cand_30_000002|LEONARDO HUMBERTO HUERTA GUTIERREZ
0900127,28,28,8601,1214,76,98,0,1040,63,5
0900130,154,154,48037,10286,845,599,0,8842,1008,54
0900133,47,47,13494,1967,108,143,0,1716,86,20
1100001,801,801,267293,55089,6044,4121,0,44924,4698,284
1100004,45,45,13202,298,21,113,0,164,25,6
1100005,74,74,22750,851,76,319,0,456,53,8
1100006,55,55,17546,1313,116,467,0,730,65,7
1100007,122,122,30906,1375,182,347,0,846,61,6
1100010,61,61,18843,2863,461,764,0,1638,85,31
1100013,85,85,27053,1419,127,189,0,1103,63,2
1100016,79,79,26450,1202,144,314,0,744,89,7
1100019,70,70,21523,1931,318,268,0,1345,104,12
1100022,61,61,19528,1261,124,267,0,870,98,10
1100025,137,124,38686,3332,340,911,0,2081,242,31
1100027,17,17,5128,509,26,120,0,363,31,0
1100028,74,73,19719,1037,124,322,0,591,77,5
1100029,48,48,14880,1482,333,345,0,804,59,14
1100031,65,65,19578,1064,109,213,0,742,80,2
1100034,34,34,10414,170,25,81,0,64,9,4
1100037,31,31,9438,775,91,180,0,504,40,4
1100040,54,54,15469,794,55,177,0,562,34,1
1100043,62,59,14067,1330,47,259,0,1024,33,4
1100046,49,49,14375,1112,89,297,0,726,36,7
1100049,72,72,22350,2353,346,307,0,1700,131,11
1100052,77,77,23293,2252,200,463,0,1589,150,14
1100053,25,25,7431,1011,195,215,0,601,49,9
1100055,81,81,23079,721,75,117,0,529,48,1
1100058,93,93,27951,3110,380,833,0,1897,219,19
1100060,26,26,6824,425,27,85,0,313,28,5
1100061,105,105,32510,3766,365,637,0,2764,447,24
1100064,104,104,35735,3445,613,408,0,2424,110,31
1100067,32,32,10146,707,59,157,0,491,44,1
1100070,30,30,8963,964,96,151,0,717,51,8
1100073,24,24,7348,285,11,92,0,182,9,3
1100076,247,247,86978,9269,1397,1183,0,6689,610,69
1100079,19,19,4311,346,17,69,0,260,20,0
1100082,81,81,24867,1787,171,361,0,1255,131,14
1100085,29,29,7852,878,88,198,0,592,50,6
1100086,23,23,6195,168,10,52,0,106,11,0
1100087,62,62,19307,2161,355,523,0,1283,117,17
1100088,93,93,28887,4091,486,619,0,2986,262,16
1100091,61,54,16363,471,45,105,0,321,27,4
1100094,68,68,21556,695,91,254,0,350,44,9
