mpio_reg_code_7,votantes,votos_validos,votos_blanco,votos_nulos,votos_no_marcados,mesas_total,mesas_escrutadas,indig_0006,indig_0011,indig_0188,indig_0234,indig_0237,indig_0252,indig_0285,indig_0300,indig_0306,indig_0347
0700082,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0
0700085,18,18,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0
0700088,13,11,11,2,0,20,20,0,0,0,0,0,0,0,0,0,0
0700091,1,1,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0
0700094,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0
0700097,1,1,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0
0700100,31,19,12,9,3,41,41,0,0,0,0,0,0,0,0,0,0
0700103,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0
0700106,27,23,20,4,0,29,29,0,0,0,0,0,0,0,0,0,0
0700109,4,2,2,2,0,12,12,0,0,0,0,0,0,0,0,0,0
0700112,12,11,0,0,1,12,12,0,0,0,0,0,0,0,0,0,0
0700118,1,0,0,0,1,7,7,0,0,0,0,0,0,0,0,0,0
0700121,16,8,8,3,5,20,20,0,0,0,0,0,0,0,0,0,0
0700124,8,0,0,0,8,12,12,0,0,0,0,0,0,0,0,0,0
0700127,36,2,1,6,28,10,10,0,0,0,0,0,0,0,0,0,0
0700130,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0
0700136,1,1,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0
0700137,8,0,0,8,0,7,7,0,0,0,0,0,0,0,0,0,0
0700139,34,12,8,19,3,42,42,0,0,0,0,0,0,0,0,0,0
0700142,1,1,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0
0700148,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0
0700151,25,9,7,10,6,24,24,0,0,0,0,0,0,0,0,0,0
0700154,1,1,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0
0700157,1,1,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0
0700160,91,21,13,44,26,61,61,0,0,0,0,0,0,0,0,0,0
0700161,28,8,1,8,12,19,19,0,0,0,0,0,0,0,0,0,0
0700163,5,5,1,0,0,26,26,0,0,0,0,0,0,0,0,0,0
0700166,23,22,0,0,1,42,41,7,11,0,0,0,0,3,1,0,0
0700169,11,7,5,1,3,15,15,0,0,0,0,0,0,0,0,0,0
0700173,1,1,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0
0700176,56,32,2,5,19,28,28,0,0,0,0,0,0,0,0,0,0
0700178,2,1,0,0,1,6,6,0,0,0,0,0,0,0,0,0,0
0700179,1,1,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0
0700181,116,65,55,20,31,95,95,0,0,0,0,0,0,0,0,0,0
0700184,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0
0700187,9,2,2,3,4,5,5,0,0,0,0,0,0,0,0,0,0
0700190,14,6,5,6,2,23,23,0,0,0,0,0,0,0,0,0,0
0700193,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0
0700199,7,3,3,2,2,14,14,0,0,0,0,0,0,0,0,0,0
0700202,0,0,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0
0700205,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0
0700214,367,208,56,60,99,125,125,0,0,0,0,0,0,0,0,0,0
0700215,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0
0700217,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0
0700220,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0
0700223,24,24,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0
0700226,55,6,6,29,20,36,36,0,0,0,0,0,0,0,0,0,0
0700232,6,5,0,1,0,14,14,0,0,0,0,0,0,0,0,0,0
0700235,70,41,14,13,16,50,50,0,0,0,0,0,0,0,0,0,0
0700237,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0
0700238,12,6,4,4,2,19,19,0,0,0,0,0,0,0,0,0,0
0700241,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0
0700247,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0
0700248,17,7,7,4,6,9,9,0,0,0,0,0,0,0,0,0,0
0700249,24,2,2,6,16,20,20,0,0,0,0,0,0,0,0,0,0
0700250,19,5,4,6,8,23,23,0,0,0,0,0,0,0,0,0,0
0700251,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0
0700253,9,6,4,3,0,28,28,0,0,0,0,0,0,0,0,0,0
0700256,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0
0700259,16,3,0,2,11,9,9,0,0,0,0,0,0,0,0,0,0
0700262,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0
0700265,6,5,0,1,0,20,20,0,0,0,0,0,0,0,0,0,0
0700268,63,62,0,0,1,24,24,0,0,0,0,0,0,0,0,0,0
0700271,54,32,7,7,15,21,21,0,0,0,0,0,0,0,0,0,0
0700274,4,3,3,1,0,23,23,0,0,0,0,0,0,0,0,0,0
0700277,324,225,104,73,26,301,301,0,0,0,0,0,0,0,0,0,0
0700280,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0
0700281,8,0,0,0,8,10,10,0,0,0,0,0,0,0,0,0,0
0700282,79,46,25,11,22,20,20,0,0,0,0,0,0,0,0,0,0
0700283,5,5,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0
0700286,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0
0700289,11,7,7,3,1,19,19,0,0,0,0,0,0,0,0,0,0
0700292,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0
0700298,9,1,0,0,8,15,15,0,0,0,0,0,0,0,0,0,0
0700301,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0
0700304,1,1,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0
0700307,6,6,0,0,0,31,31,0,0,0,0,0,0,0,0,0,0
0700310,1,1,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0
0700311,3,2,0,0,1,12,12,0,0,0,0,0,0,0,0,0,0
0700313,6,6,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0
0700316,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0
0700319,6,3,3,2,1,12,12,0,0,0,0,0,0,0,0,0,0
0700322,50,5,5,9,36,15,15,0,0,0,0,0,0,0,0,0,0
0700324,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0
0700325,15,4,2,4,7,18,18,0,0,0,0,0,0,0,0,0,0
0700328,12,12,0,0,0,27,27,0,0,0,0,0,0,0,0,0,0
0700331,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0
0700334,6,2,0,0,4,18,18,0,0,0,0,0,0,0,0,0,0
0700337,107,69,23,17,21,37,37,0,0,0,0,0,0,0,0,0,0
0700340,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0
0700346,6,4,4,1,1,14,14,0,0,0,0,0,0,0,0,0,0
0900001,1090,685,420,254,151,1065,1065,0,0,0,0,0,0,0,0,0,0
0900004,41,6,5,7,28,63,63,0,0,0,0,0,0,0,0,0,0
0900007,190,115,20,39,36,96,96,0,0,0,0,0,0,0,0,0,0
0900013,1,1,0,0,0,40,40,0,0,0,0,0,0,0,0,0,0
0900022,37,26,6,2,9,33,33,0,0,0,0,0,0,0,0,0,0
0900034,294,142,119,84,68,148,148,0,0,0,0,0,0,0,0,0,0
0900037,27,23,8,1,3,31,31,0,0,0,0,0,0,0,0,0,0
0900049,230,75,63,86,69,183,182,1,8,0,0,1,0,1,0,1,0
0900052,9,7,3,2,0,20,20,0,0,0,0,0,0,0,0,0,0
0900055,42,12,12,10,20,51,51,0,0,0,0,0,0,0,0,0,0
0900058,78,62,5,14,2,25,25,0,0,0,0,0,0,0,0,0,0
0900061,29,4,3,5,20,39,39,0,0,0,0,0,0,0,0,0,0
0900067,3,1,1,0,2,9,9,0,0,0,0,0,0,0,0,0,0
0900076,86,47,14,17,22,65,65,0,0,0,0,0,0,0,0,0,0
0900078,10,2,1,5,3,22,22,0,0,0,0,0,0,0,0,0,0
0900079,2,2,1,0,0,42,42,0,0,0,0,0,0,0,0,0,0
0900082,33,7,7,15,11,48,48,0,0,0,0,0,0,0,0,0,0
0900085,29,6,5,7,16,55,55,0,0,0,0,0,0,0,0,0,0
0900103,8103,7247,426,453,403,130,130,0,0,0,0,0,0,0,0,0,0
0900106,27,16,4,2,9,34,34,0,0,0,0,0,0,0,0,0,0
0900109,64,15,15,15,34,49,49,0,0,0,0,0,0,0,0,0,0
0900115,15,4,4,8,3,54,54,0,0,0,0,0,0,0,0,0,0
0900120,3,3,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0
0900124,1515,1172,103,172,171,78,78,0,0,0,0,0,0,0,0,0,0
0900127,20,11,8,7,2,28,28,0,0,0,0,0,0,0,0,0,0
0900130,369,131,113,118,120,154,154,0,0,0,0,0,0,0,0,0,0
0900133,68,31,8,15,22,47,47,0,0,0,0,0,0,0,0,0,0
1100001,2464,1985,454,242,237,801,801,0,0,0,0,0,0,0,0,0,0
1100004,926,851,32,33,42,45,45,0,0,0,0,0,0,0,0,0,0
1100005,143,21,19,35,87,74,74,0,0,0,0,0,0,0,0,0,0
1100006,61,12,11,10,39,55,55,0,0,0,0,0,0,0,0,0,0
1100007,544,487,18,18,39,122,122,0,0,0,0,0,0,0,0,0,0
1100010,783,654,55,41,88,61,61,0,0,0,0,0,0,0,0,0,0
1100013,419,248,36,54,117,85,85,0,0,0,0,0,0,0,0,0,0
1100016,8510,7870,189,312,328,79,79,0,0,0,0,0,0,0,0,0,0
1100019,2917,2682,90,98,137,70,70,0,0,0,0,0,0,0,0,0,0
1100022,2902,2648,98,97,157,61,61,0,0,0,0,0,0,0,0,0,0
