mpio_reg_code_7,dept_reg_code,dept_name,mpio_name,is_exterior,censo,num_mesas
0700178,0700,BOYACA,PACHAVITA,False,1979,6
0700179,0700,BOYACA,PAEZ,False,2450,9
0700181,0700,BOYACA,PAIPA,False,30521,95
0700184,0700,BOYACA,PAJARITO,False,1779,7
0700187,0700,BOYACA,PANQUEBA,False,1607,5
0700190,0700,BOYACA,PAUNA,False,7067,23
0700193,0700,BOYACA,PAYA,False,1749,7
0700199,0700,BOYACA,PAZ DE RIO,False,4127,14
0700202,0700,BOYACA,PESCA,False,6588,21
0700205,0700,BOYACA,PISBA,False,1261,4
0700214,0700,BOYACA,PUERTO BOYACA,False,39982,125
0700215,0700,BOYACA,QUIPAMA,False,5141,18
0700217,0700,BOYACA,RAMIRIQUI,False,9526,30
0700220,0700,BOYACA,RAQUIRA,False,5564,18
0700223,0700,BOYACA,RONDON,False,2314,8
0700226,0700,BOYACA,SABOYA,False,10709,36
0700232,0700,BOYACA,SACHICA,False,4348,14
0700235,0700,BOYACA,SAMACA,False,16357,50
0700237,0700,BOYACA,SAN EDUARDO,False,1552,5
0700238,0700,BOYACA,SAN JOSE DE PARE,False,5642,19
0700241,0700,BOYACA,SAN LUIS DE GACENO,False,4281,16
0700247,0700,BOYACA,SAN MATEO,False,3606,11
0700248,0700,BOYACA,SAN MIGUEL DE SEMA,False,2910,9
0700249,0700,BOYACA,SAN PABLO DE BORBUR,False,6103,20
0700250,0700,BOYACA,SANTANA,False,7368,23
0700251,0700,BOYACA,SANTA MARIA,False,3202,12
0700253,0700,BOYACA,SANTA ROSA DE VITERBO,False,8921,28
0700256,0700,BOYACA,SANTA SOFIA,False,3290,10
0700259,0700,BOYACA,SATIVANORTE,False,2543,9
0700262,0700,BOYACA,SATIVASUR,False,1301,4
0700265,0700,BOYACA,SIACHOQUE,False,6371,20
0700268,0700,BOYACA,SOATA,False,7812,24
0700271,0700,BOYACA,SOCOTA,False,6004,21
0700274,0700,BOYACA,SOCHA,False,6907,23
0700277,0700,BOYACA,SOGAMOSO,False,101449,301
0700280,0700,BOYACA,SOMONDOCO,False,2898,9
0700281,0700,BOYACA,SORA,False,3023,10
0700282,0700,BOYACA,SORACA,False,6447,20
0700283,0700,BOYACA,SOTAQUIRA,False,6282,20
0700286,0700,BOYACA,SUSACON,False,2565,9
0700289,0700,BOYACA,SUTAMARCHAN,False,6320,19
0700292,0700,BOYACA,SUTATENZA,False,3946,12
0700298,0700,BOYACA,TASCO,False,5005,15
0700301,0700,BOYACA,TENZA,False,3642,11
0700304,0700,BOYACA,TIBANA,False,7677,25
0700307,0700,BOYACA,TIBASOSA,False,10294,31
0700310,0700,BOYACA,TINJACA,False,3128,10
0700311,0700,BOYACA,TIPACOQUE,False,3682,12
0700313,0700,BOYACA,TOCA,False,8116,25
0700316,0700,BOYACA,TOGUI,False,4538,14
0700319,0700,BOYACA,TOPAGA,False,3513,12
0700322,0700,BOYACA,TOTA,False,4546,15
0700324,0700,BOYACA,TUNUNGUA,False,1596,5
0700325,0700,BOYACA,TURMEQUE,False,5784,18
0700328,0700,BOYACA,TUTA,False,8597,27
0700331,0700,BOYACA,TUTAZA,False,2099,7
0700334,0700,BOYACA,UMBITA,False,5889,18
0700337,0700,BOYACA,VENTAQUEMADA,False,12079,37
0700340,0700,BOYACA,VIRACACHA,False,2553,8
0700346,0700,BOYACA,ZETAQUIRA,False,4666,14
0900001,0900,CALDAS,MANIZALES,False,348772,1065
0900004,0900,CALDAS,AGUADAS,False,19292,63
0900007,0900,CALDAS,ANSERMA,False,29710,96
0900013,0900,CALDAS,ARANZAZU,False,11416,40
0900022,0900,CALDAS,BELALCAZAR,False,10510,33
0900034,0900,CALDAS,CHINCHINA,False,47735,148
0900037,0900,CALDAS,FILADELFIA,False,9402,31
0900049,0900,CALDAS,LA DORADA,False,58225,183
0900052,0900,CALDAS,LA MERCED,False,5728,20
0900055,0900,CALDAS,MANZANARES,False,15777,51
0900058,0900,CALDAS,MARMATO,False,7793,25
0900061,0900,CALDAS,MARQUETALIA,False,12546,39
0900067,0900,CALDAS,MARULANDA,False,2421,9
0900076,0900,CALDAS,NEIRA,False,20188,65
0900078,0900,CALDAS,NORCASIA,False,6868,22
