mesa_code,puesto_code,mesa_num,num_mesas,censo,puesto_name,zona_code,zona_name,mpio_reg_code_7,mpio_name,dept_reg_code,dept_name,is_exterior
3100001280004000003,3100001280004,3,1,340,ACADEMIA JOSE MARIA CABAL,310000128,ZONA28,3100001,CALI,3100,VALLE,False
3100001280004000004,3100001280004,4,1,340,ACADEMIA JOSE MARIA CABAL,310000128,ZONA28,3100001,CALI,3100,VALLE,False
3100001280004000005,3100001280004,5,1,340,ACADEMIA JOSE MARIA CABAL,310000128,ZONA28,3100001,CALI,3100,VALLE,False
3100001280004000006,3100001280004,6,1,340,ACADEMIA JOSE MARIA CABAL,310000128,ZONA28,3100001,CALI,3100,VALLE,False
3100001280004000007,3100001280004,7,1,340,ACADEMIA JOSE MARIA CABAL,310000128,ZONA28,3100001,CALI,3100,VALLE,False
3100001280004000008,3100001280004,8,1,340,ACADEMIA JOSE MARIA CABAL,310000128,ZONA28,3100001,CALI,3100,VALLE,False
3100001280004000009,3100001280004,9,1,340,ACADEMIA JOSE MARIA CABAL,310000128,ZONA28,3100001,CALI,3100,VALLE,False
3100001280004000010,3100001280004,10,1,340,ACADEMIA JOSE MARIA CABAL,310000128,ZONA28,3100001,CALI,3100,VALLE,False
3100001280004000011,3100001280004,11,1,340,ACADEMIA JOSE MARIA CABAL,310000128,ZONA28,3100001,CALI,3100,VALLE,False
3100001280004000012,3100001280004,12,1,340,ACADEMIA JOSE MARIA CABAL,310000128,ZONA28,3100001,CALI,3100,VALLE,False
3100001280004000013,3100001280004,13,1,98,ACADEMIA JOSE MARIA CABAL,310000128,ZONA28,3100001,CALI,3100,VALLE,False
5200001140002000001,5200001140002,1,1,340,ACADEMIA MILITAR JOSE ANTONIO PAEZ,520000114,ZONA14,5200001,VILLAVICENCIO,5200,META,False
5200001140002000002,5200001140002,2,1,340,ACADEMIA MILITAR JOSE ANTONIO PAEZ,520000114,ZONA14,5200001,VILLAVICENCIO,5200,META,False
5200001140002000003,5200001140002,3,1,340,ACADEMIA MILITAR JOSE ANTONIO PAEZ,520000114,ZONA14,5200001,VILLAVICENCIO,5200,META,False
5200001140002000004,5200001140002,4,1,340,ACADEMIA MILITAR JOSE ANTONIO PAEZ,520000114,ZONA14,5200001,VILLAVICENCIO,5200,META,False
5200001140002000005,5200001140002,5,1,340,ACADEMIA MILITAR JOSE ANTONIO PAEZ,520000114,ZONA14,5200001,VILLAVICENCIO,5200,META,False
5200001140002000006,5200001140002,6,1,340,ACADEMIA MILITAR JOSE ANTONIO PAEZ,520000114,ZONA14,5200001,VILLAVICENCIO,5200,META,False
5200001140002000007,5200001140002,7,1,340,ACADEMIA MILITAR JOSE ANTONIO PAEZ,520000114,ZONA14,5200001,VILLAVICENCIO,5200,META,False
5200001140002000008,5200001140002,8,1,340,ACADEMIA MILITAR JOSE ANTONIO PAEZ,520000114,ZONA14,5200001,VILLAVICENCIO,5200,META,False
5200001140002000009,5200001140002,9,1,340,ACADEMIA MILITAR JOSE ANTONIO PAEZ,520000114,ZONA14,5200001,VILLAVICENCIO,5200,META,False
5200001140002000010,5200001140002,10,1,340,ACADEMIA MILITAR JOSE ANTONIO PAEZ,520000114,ZONA14,5200001,VILLAVICENCIO,5200,META,False
5200001140002000011,5200001140002,11,1,340,ACADEMIA MILITAR JOSE ANTONIO PAEZ,520000114,ZONA14,5200001,VILLAVICENCIO,5200,META,False
5200001140002000012,5200001140002,12,1,340,ACADEMIA MILITAR JOSE ANTONIO PAEZ,520000114,ZONA14,5200001,VILLAVICENCIO,5200,META,False
5200001140002000013,5200001140002,13,1,340,ACADEMIA MILITAR JOSE ANTONIO PAEZ,520000114,ZONA14,5200001,VILLAVICENCIO,5200,META,False
5200001140002000014,5200001140002,14,1,340,ACADEMIA MILITAR JOSE ANTONIO PAEZ,520000114,ZONA14,5200001,VILLAVICENCIO,5200,META,False
5200001140002000015,5200001140002,15,1,340,ACADEMIA MILITAR JOSE ANTONIO PAEZ,520000114,ZONA14,5200001,VILLAVICENCIO,5200,META,False
