ubigeo,departamento,provincia,distrito,electores,area_km2,population_density,keiko_2021_share,castillo_2021_share,rural,agua,trabajo,sis,educacion,pobreza
10403,Amazonas,Luya,Cocabamba,1572.0,342.2909,4.5926,35.4788,64.5212,100.0,91.4439,31.0533,89.0484,21.7912,55.97922299999999
10404,Amazonas,Luya,Colcamar,1868.0,107.5556,17.3678,44.5631,55.4369,100.0,92.6164,31.7994,88.6131,27.5608,42.320492
10405,Amazonas,Luya,Conila,1645.0,248.5282,6.619,37.041,62.959,100.0,85.102,35.3819,86.087,34.2906,49.64227199999999
10406,Amazonas,Luya,Inguilpata,587.0,118.5342,4.9522,53.6278,46.3722,100.0,100.0,28.8703,87.5502,34.4898,40.196248
10407,Amazonas,Luya,Longuita,824.0,58.6626,14.0464,58.891,41.109,100.0,54.1237,32.7563,90.2265,28.3355,56.75129100000001
10408,Amazonas,Luya,Lonya Chico,850.0,69.5195,12.2268,37.6744,62.3256,100.0,93.2,28.7179,86.342,31.026,46.699524999999994
10409,Amazonas,Luya,Luya,3229.0,96.0096,33.6321,42.6156,57.3844,40.4395,81.7669,37.9206,73.857,41.0311,30.284501000000006
10410,Amazonas,Luya,Luya Viejo,403.0,55.7318,7.2311,38.6266,61.3734,100.0,86.7347,26.8222,91.4948,33.6088,54.43836800000001
10411,Amazonas,Luya,María,827.0,87.6461,9.4357,35.0877,64.9123,100.0,98.1043,34.4575,84.1398,30.7801,51.870194
10412,Amazonas,Luya,Ocalli,2963.0,171.8469,17.2421,32.0988,67.9012,100.0,85.6691,13.437,77.5591,34.5514,45.39658
10413,Amazonas,Luya,Ocumal,2941.0,363.7326,8.0856,46.25,53.75,100.0,90.7734,27.1823,84.91,32.5482,52.242779
10414,Amazonas,Luya,Pisuquia,4165.0,290.6315,14.3309,36.5297,63.4703,100.0,81.2381,32.7405,89.849,29.8441,58.528572
10423,Amazonas,Luya,Providencia,1325.0,116.3549,11.3876,16.2021,83.7979,100.0,98.6063,9.8745,82.9787,31.5705,54.733542
10415,Amazonas,Luya,San Cristóbal,612.0,35.5353,17.2223,42.6901,57.3099,100.0,77.957,16.0643,93.5897,30.3675,52.75641
10416,Amazonas,Luya,San Francisco Del Yeso,619.0,181.6508,3.4076,37.0667,62.9333,100.0,94.7368,20.48,82.3022,26.053,49.096061000000006
10417,Amazonas,Luya,San Jeronimo,1057.0,207.8889,5.0844,48.4211,51.5789,100.0,92.1466,42.7119,87.5197,18.5668,47.147577999999996
10418,Amazonas,Luya,San Juan De Lopecancha,509.0,86.224,5.9032,49.2481,50.7519,100.0,76.3158,36.5333,87.3508,25.0639,55.646778
10419,Amazonas,Luya,Santa Catalina,1758.0,164.7418,10.6712,43.5435,56.4565,100.0,97.1861,33.2729,89.1949,24.7293,60.302966
10420,Amazonas,Luya,Santo Tomás,2725.0,90.0728,30.2533,42.5163,57.4837,100.0,92.9078,24.1392,83.5657,29.9615,46.979229
10421,Amazonas,Luya,Tingo,1362.0,109.0261,12.4924,51.8667,48.1333,100.0,98.8166,38.5289,79.3676,36.2343,40.0163
10422,Amazonas,Luya,Trita,1144.0,12.8682,88.9013,22.8739,77.1261,100.0,70.9945,37.8601,87.092,33.5709,50.058289
10501,Amazonas,Rodriguez De Mendoza,San Nicolás,4288.0,102.0634,42.0131,48.807,51.193,17.0711,86.0759,40.9435,57.3138,49.7918,20.821354
10503,Amazonas,Rodriguez De Mendoza,Chirimoto,2073.0,153.5466,13.5008,41.8085,58.1915,100.0,90.4545,32.3757,73.9392,26.0851,38.449165
10502,Amazonas,Rodriguez De Mendoza,Cochamal,759.0,180.741,4.1994,37.5291,62.4709,100.0,97.2067,43.8532,77.8151,40.5644,33.428571000000005
10504,Amazonas,Rodriguez De Mendoza,Huambo,2502.0,77.562,32.2581,57.6741,42.3259,100.0,69.4565,38.6163,72.5573,34.9488,22.971
10505,Amazonas,Rodriguez De Mendoza,Limabamba,1469.0,614.4795,2.3906,36.849,63.151,100.0,92.2078,35.3898,78.0702,29.0692,37.433423
10506,Amazonas,Rodriguez De Mendoza,Longar,1524.0,82.2833,18.5214,40.8141,59.1859,100.0,98.7448,38.8999,71.0607,38.3632,25.822
10508,Amazonas,Rodriguez De Mendoza,Mariscal Benavides,1680.0,202.5098,8.2959,48.1517,51.8483,100.0,97.0711,37.482,68.9907,42.036,22.117973
10507,Amazonas,Rodriguez De Mendoza,Milpuc,677.0,43.0562,15.7236,39.185,60.815,100.0,85.906,41.1348,70.8609,27.3138,31.604121000000003
10509,Amazonas,Rodriguez De Mendoza,Omia,7652.0,225.1353,33.9885,31.5718,68.4282,100.0,82.8155,37.7489,68.2361,27.6092,39.50834999999999
10510,Amazonas,Rodriguez De Mendoza,Santa Rosa,591.0,20.2048,29.2505,43.2099,56.7901,100.0,100.0,40.0,85.5469,21.3115,24.453775999999998
10511,Amazonas,Rodriguez De Mendoza,Totora,494.0,19.4541,25.3931,48.5106,51.4894,100.0,97.1154,36.6038,73.7589,30.2583,22.971
10512,Amazonas,Rodriguez De Mendoza,Vista Alegre,2360.0,861.1909,2.7404,23.1915,76.8085,100.0,96.5,40.6198,78.6273,25.357,51.23777200000001
