organizacion_id,organizacion,tipo_organizacion,grupo_id,grupo,grupo_n_orgs,es_ancla,listas,candidatos,reg,prov,dist,n_departamentos,departamentos,integrantes
3040,RENOVACION POPULAR PERU,ALIANZAS ELECTORALES,3040,RENOVACION POPULAR + ALIADOS,3,True,611,5550,16,80,515,24,AMAZONAS | ANCASH | APURIMAC | AREQUIPA | AYACUCHO | CAJAMARCA | CALLAO | CUSCO | HUANUCO | ICA | JUNIN | LA LIBERTAD | LAMBAYEQUE | LIMA | LORETO | MADRE DE DIOS | MOQUEGUA | PASCO | PIURA | PUNO | SAN MARTIN | TACNA | TUMBES | UCAYALI,"RENOVACION POPULAR | PARTIDO POR EL ENTENDIMIENTO, RECUPERACION Y LA UNIFICACION DEL PERU"
3034,ALIANZA RENOVACION POPULAR Y TORO,ALIANZAS ELECTORALES,3040,RENOVACION POPULAR + ALIADOS,3,False,60,485,1,8,51,1,LIMA,RENOVACION POPULAR | MOVIMIENTO REGIONAL PATRIA JOVEN
3007,"PARTIDO POR EL ENTENDIMIENTO, RECUPERACION Y LA UNIFICACION DEL PERU",PARTIDOS POLITICOS,3040,RENOVACION POPULAR + ALIADOS,3,False,1,9,0,0,1,1,LIMA,
2171,RENOVACION TUMBESINA,MOVIMIENTOS REGIONALES O DEPARTAMENTALES,2171,RENOVACION TUMBESINA,1,True,12,109,1,3,8,1,TUMBES,
2927,SALVEMOS AL PERU,PARTIDOS POLITICOS,2927,SALVEMOS AL PERU,1,True,51,501,2,8,41,10,AREQUIPA | CAJAMARCA | CALLAO | CUSCO | LA LIBERTAD | LIMA | PIURA | PUNO | TACNA | UCAYALI,
2881,SOCIOS POR ANCASH,MOVIMIENTOS REGIONALES O DEPARTAMENTALES,2881,SOCIOS POR ANCASH,1,True,9,128,1,2,6,1,ANCASH,
2998,UN CAMINO DIFERENTE,PARTIDOS POLITICOS,2998,UN CAMINO DIFERENTE,1,True,19,181,0,3,16,4,AMAZONAS | CAJAMARCA | LA LIBERTAD | LIMA,
2958,UNIDOS POR TACNA,MOVIMIENTOS REGIONALES O DEPARTAMENTALES,2958,UNIDOS POR TACNA,1,True,10,103,1,3,6,1,TACNA,
2722,UNION REGIONAL,MOVIMIENTOS REGIONALES O DEPARTAMENTALES,2722,UNION REGIONAL,1,True,30,271,1,6,23,1,SAN MARTIN,
2917,VAMOS MOQUEGUA,MOVIMIENTOS REGIONALES O DEPARTAMENTALES,2917,VAMOS MOQUEGUA,1,True,1,22,1,0,0,1,MOQUEGUA,
2988,VISION PERU,PARTIDOS POLITICOS,2988,VISION PERU,1,True,72,1199,15,45,12,17,AMAZONAS | AREQUIPA | AYACUCHO | CAJAMARCA | CUSCO | HUANUCO | JUNIN | LA LIBERTAD | LAMBAYEQUE | LIMA | MOQUEGUA | PASCO | PIURA | SAN MARTIN | TACNA | TUMBES | UCAYALI,
2970,VIVA PUNO,MOVIMIENTOS REGIONALES O DEPARTAMENTALES,2970,VIVA PUNO,1,True,8,72,0,2,6,1,PUNO,
2744,YO AREQUIPA,MOVIMIENTOS REGIONALES O DEPARTAMENTALES,2744,YO AREQUIPA,1,True,21,226,1,4,16,1,AREQUIPA,
