mpio_reg_code_7,censo,votantes,votos_nulos,votos_no_marcados,votos_blanco,votos_validos,mesas_total,mesas_escrutadas,cand_cepeda,cand_valencia,cand_delaespriella,cand_claudialopez,cand_barreras,cand_fajardo,cand_caicedo,cand_lizcano,cand_uribe,cand_botero,cand_macollins,cand_matamoros,cand_murillo
4600040,29666,17037,380,36,336,16621,88,72,4644,1135,9488,70,18,416,2,24,30,412,23,14,9
4600120,1858,1269,5,3,13,1261,6,6,267,88,835,4,2,21,0,1,4,21,3,2,0
4600320,7903,4491,30,13,58,4448,33,31,528,339,3390,17,6,45,3,3,14,36,6,1,2
4600480,980,389,8,3,19,378,3,3,229,11,109,2,0,3,1,3,1,0,0,0,0
4600520,12056,7593,114,19,145,7460,40,39,1819,443,4667,42,13,131,4,21,13,137,11,10,4
4600540,12634,7848,118,12,130,7718,39,35,1783,641,4774,31,5,190,3,13,6,128,11,1,2
4600560,6567,3939,22,17,40,3900,27,26,516,382,2816,12,1,34,2,9,12,60,9,2,5
4600640,8906,5074,61,28,86,4985,29,29,1241,279,3199,15,7,47,3,7,5,88,4,4,0
4600680,28280,17350,181,55,265,17114,86,85,3110,1418,11794,43,10,236,4,29,14,170,12,7,2
4600700,8570,4619,38,16,63,4565,26,22,734,328,3248,17,3,69,2,4,7,79,6,1,4
4600760,1216,793,8,4,11,781,5,5,187,64,477,3,1,22,0,4,1,10,1,0,0
4600800,2812,2002,19,1,19,1982,10,10,393,140,1371,3,0,33,1,2,1,16,2,1,0
4600815,1926,1102,9,6,42,1087,6,6,621,66,312,4,2,21,2,1,1,14,1,0,0
4600830,6647,4243,23,19,63,4201,24,24,533,315,3127,18,7,74,4,4,5,44,6,0,1
4600840,4612,2669,20,22,43,2627,18,18,469,330,1684,16,5,23,5,5,12,24,8,0,3
4600850,20292,13989,207,27,252,13755,60,57,3008,619,9142,59,8,324,5,25,16,278,11,3,5
4600865,9930,5540,44,11,71,5485,34,31,890,497,3871,19,2,62,2,8,10,45,4,3,1
4600880,28649,18690,532,38,419,18120,85,79,5056,988,10367,103,13,502,5,27,22,593,12,7,6
