puesto_code,puesto_name,num_mesas,dept_reg_code,dept_name,mpio_reg_code_7,mpio_name,zona_code,zona_name,is_exterior
3100019990056,SILVA,2,3100,VALLE,3100019,BUENAVENTURA,310001999,ZONA99,False
1900037990001,SILVANIA,12,1900,HUILA,1900037,GIGANTE,190003799,ZONA99,False
1200600990085,SIMAÑA,5,1200,CESAR,1200600,LA GLORIA,120060099,ZONA99,False
1600001120007,SIMON BOLIVAR,32,1600,BOGOTA D.C.,1600001,BOGOTA. D.C.,160000112,ZONA12,False
6400023990070,SIMON BOLIVAR,2,6400,PUTUMAYO,6400023,ORITO,640002399,ZONA99,False
1600001110044,SIMON BOLIVAR - IED,21,1600,BOGOTA D.C.,1600001,BOGOTA. D.C.,160000111,ZONA11,False
0100178010003,SIMONA DUQUE SECUNDARIA IE TEC INDUST.,28,0100,ANTIOQUIA,0100178,MARINILLA,010017801,ZONA01,False
1200720990086,SIMONORWA,2,1200,CESAR,1200720,PUEBLO BELLO,120072099,ZONA99,False
0500097990002,SINAI,2,0500,BOLIVAR,0500097,SIMITI,050009799,ZONA99,False
0700078990010,SINAI,1,0700,BOYACA,0700078,CHIVOR,070007899,ZONA99,False
1100005990075,SINAI,6,1100,CAUCA,1100005,ARGELIA,110000599,ZONA99,False
0500016990006,SINCELEJITO,3,0500,BOLIVAR,0500016,CORDOBA,050001699,ZONA99,False
1300004990080,SINCELEJITO,2,1300,CORDOBA,1300004,AYAPEL,130000499,ZONA99,False
2800060990076,SINCELEJITO,2,2800,SUCRE,2800060,MAJAGUAL,280006099,ZONA99,False
0500007990009,SINCERIN,9,0500,BOLIVAR,0500007,ARJONA,050000799,ZONA99,False
2300016990036,SINDAWA,1,2300,NARIÑO,2300016,BARBACOAS,230001699,ZONA99,False
0900103990014,SIPIRRA,4,0900,CALDAS,0900103,RIOSUCIO,090010399,ZONA99,False
0700179990044,SIRASI,1,0700,BOYACA,0700179,PAEZ,070017999,ZONA99,False
0700079990005,SIRATA,3,0700,BOYACA,0700079,DUITAMA,070007999,ZONA99,False
0700154990001,SIRGUAZA,1,0700,BOYACA,0700154,MONGUA,070015499,ZONA99,False
3100052990017,SIRIMUNDA,1,3100,VALLE,3100052,EL DOVIO,310005299,ZONA99,False
4600560990076,SIRIVANA,1,4600,CASANARE,4600560,NUNCHIA,460056099,ZONA99,False
4600830990090,SIRIVANA ALGODONALE,1,4600,CASANARE,4600830,SAN LUIS DE PALENQUE,460083099,ZONA99,False
2700094990012,SISOTA,1,2700,SANTANDER,2700094,GUACA,270009499,ZONA99,False
0700008990028,SISVACA,1,0700,BOYACA,0700008,AQUITANIA (PUEBLOVIEJO),070000899,ZONA99,False
2700169990040,SITIO NUEVO,1,2700,SANTANDER,2700169,PUERTO WILCHES,270016999,ZONA99,False
4800007990025,SITIO NUEVO,1,4800,LA GUAJIRA,4800007,FONSECA,480000799,ZONA99,False
2800060990093,SITIO NUEVO EL PANDO,1,2800,SUCRE,2800060,MAJAGUAL,280006099,ZONA99,False
